"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Aug 09 14:39:49 MSK 2023","Wed Aug 09 14:39:54 MSK 2023","5241","","test_jne","Test_Main_PM_Window","","","Окно ПМ",""
"failed","Wed Aug 09 12:28:47 MSK 2023","Wed Aug 09 12:28:52 MSK 2023","5534","","test_jne","Test_Main_PM_Window","","","Кнопка Уфмс формы",""
"passed","Wed Aug 09 14:39:55 MSK 2023","Wed Aug 09 14:39:57 MSK 2023","2496","","","","","","Вкладка главная",""
"failed","Wed Aug 09 12:28:53 MSK 2023","Wed Aug 09 12:28:58 MSK 2023","5151","","test_jne","Test_Main_PM_Window","","","Иконка Export to",""
"passed","Wed Aug 09 12:29:03 MSK 2023","Wed Aug 09 12:29:04 MSK 2023","463","","test_jne","Test_Main_PM_Window","","","Нажатие на кнопку в трее",""
"passed","Wed Aug 09 12:29:00 MSK 2023","Wed Aug 09 12:29:01 MSK 2023","449","","test_jne","Test_Main_PM_Window","","","Окно изображений",""
"passed","Wed Aug 09 12:29:04 MSK 2023","Wed Aug 09 12:29:05 MSK 2023","1034","","test_jne","Test_Main_PM_Window","","","Подтверждение закрытия ПМ",""
"passed","Wed Aug 09 12:28:44 MSK 2023","Wed Aug 09 12:28:45 MSK 2023","520","","test_jne","Test_Main_PM_Window","","","Кнопка печать всех изображений",""
"passed","Wed Aug 09 12:29:02 MSK 2023","Wed Aug 09 12:29:02 MSK 2023","374","","test_jne","Test_Main_PM_Window","","","Иконка iida",""
"passed","Wed Aug 09 12:29:00 MSK 2023","Wed Aug 09 12:29:00 MSK 2023","427","","test_jne","Test_Main_PM_Window","","","Кнопка расширенного поика",""
"passed","Wed Aug 09 12:28:46 MSK 2023","Wed Aug 09 12:28:46 MSK 2023","495","","test_jne","Test_Main_PM_Window","","","Кнопка сканировать",""
"passed","Wed Aug 09 12:29:00 MSK 2023","Wed Aug 09 12:29:00 MSK 2023","467","","test_jne","Test_Main_PM_Window","","","Окно броней",""
"passed","Wed Aug 09 12:28:59 MSK 2023","Wed Aug 09 12:29:00 MSK 2023","346","","test_jne","Test_Main_PM_Window","","","Заголовок Брони",""
"passed","Wed Aug 09 12:29:02 MSK 2023","Wed Aug 09 12:29:03 MSK 2023","388","","test_jne","Test_Main_PM_Window","","","Кнопки закрытия, открытия, сворачивания окна",""
"passed","Wed Aug 09 12:28:58 MSK 2023","Wed Aug 09 12:28:59 MSK 2023","513","","test_jne","Test_Main_PM_Window","","","Кнопка минимайз",""
"passed","Wed Aug 09 12:29:01 MSK 2023","Wed Aug 09 12:29:01 MSK 2023","391","","test_jne","Test_Main_PM_Window","","","Окно Информация о брони",""
"passed","Wed Aug 09 12:29:02 MSK 2023","Wed Aug 09 12:29:02 MSK 2023","333","","test_jne","Test_Main_PM_Window","","","Кнопки Фиас, сохр.группу, сохранить, ок, закрыть",""
"passed","Wed Aug 09 12:28:59 MSK 2023","Wed Aug 09 12:28:59 MSK 2023","530","","test_jne","Test_Main_PM_Window","","","Кнопка максимайз",""
"passed","Wed Aug 09 12:28:45 MSK 2023","Wed Aug 09 12:28:46 MSK 2023","531","","test_jne","Test_Main_PM_Window","","","Кнопка открыть из файла",""
"passed","Wed Aug 09 12:28:45 MSK 2023","Wed Aug 09 12:28:45 MSK 2023","626","","test_jne","Test_Main_PM_Window","","","Кнопка печать текущего изображения",""
"passed","Wed Aug 09 12:29:01 MSK 2023","Wed Aug 09 12:29:02 MSK 2023","319","","test_jne","Test_Main_PM_Window","","","Слово бронь и чекбокс Подтвердить",""
"passed","Wed Aug 09 12:28:46 MSK 2023","Wed Aug 09 12:28:47 MSK 2023","494","","test_jne","Test_Main_PM_Window","","","Кнопка Zoom",""
"passed","Wed Aug 09 12:29:03 MSK 2023","Wed Aug 09 12:29:03 MSK 2023","598","","test_jne","Test_Main_PM_Window","","","Поиск кнопки в Трее",""
"passed","Mon Aug 14 14:39:13 MSK 2023","Mon Aug 14 14:39:16 MSK 2023","3004","","","","","","Найдена иконка установочника",""
"passed","Wed Aug 09 12:28:58 MSK 2023","Wed Aug 09 12:28:58 MSK 2023","396","","test_jne","Test_Main_PM_Window","","","Кнопка import_to",""
